Date,Market Cap,% Change
2025-03-05,2368000000,-0.28%
2025-03-04,2374700000,-2.24%
2025-03-03,2429100000,-2.39%
2025-02-28,2488500000,-0.54%
2025-02-27,2502100000,1.31%
2025-02-26,2469800000,-1.42%
2025-02-25,2505500000,0.14%
2025-02-24,2502100000,1.94%
2025-02-21,2454500000,-1.03%
2025-02-20,2480000000,-2.14%
2025-02-19,2534300000,-3.56%
2025-02-18,2627800000,-1.02%
2025-02-14,2654900000,-0.51%
2025-02-13,2668500000,-0.69%
2025-02-12,2687100000,-2.88%
2025-02-11,2766700000,-0.12%
2025-02-10,2770000000,1.74%
2025-02-07,2722600000,0.18%
2025-02-06,2717600000,-0.49%
2025-02-05,2731100000,0.81%
2025-02-04,2709100000,1.33%
2025-02-03,2673500000,-0.51%
2025-01-31,2687100000,-1.79%
2025-01-30,2736200000,1.70%
2025-01-29,2690500000,0.57%
2025-01-28,2675200000,-1.80%
2025-01-27,2724300000,-0.80%
2025-01-24,2746300000,0.12%
2025-01-23,2743000000,0.93%
2025-01-22,2717600000,-2.07%
2025-01-21,2775100000,2.37%
2025-01-17,2710800000,-1.41%
2025-01-16,2749700000,-0.79%
2025-01-15,2771700000,1.42%
2025-01-14,2732800000,-0.86%
2025-01-13,2756500000,0.62%
2025-01-10,2739600000,-2.53%
2025-01-08,2810700000,-2.35%
2025-01-07,2878400000,1.37%
2025-01-06,2839500000,-0.71%
2025-01-03,2859800000,-0.53%
2025-01-02,2875000000,-2.13%
2024-12-31,2937700000,0.29%
2024-12-30,2929200000,1.70%
2024-12-27,2880100000,-0.70%
2024-12-26,2900400000,-0.23%
2024-12-24,2907200000,0.64%
2024-12-23,2888600000,-0.52%
2024-12-20,2903800000,0.41%
2024-12-19,2892000000,-3.17%
2024-12-18,2986800000,-3.18%
2024-12-17,3085000000,3.06%
2024-12-16,2993500000,2.02%
2024-12-13,2934300000,0.58%
2024-12-12,2917300000,-1.15%
2024-12-11,2951200000,1.22%
2024-12-10,2915700000,0.41%
2024-12-09,2903800000,-1.44%
2024-12-06,2946100000,3.82%
2024-12-05,2837800000,-1.06%
2024-12-04,2868200000,0.29%
2024-12-03,2859800000,-2.31%
2024-12-02,2927500000,1.83%
2024-11-29,2875000000,-0.29%
2024-11-27,2883500000,0.53%
2024-11-26,2868200000,-1.57%
2024-11-25,2914000000,-1.66%
2024-11-22,2963100000,0.23%
2024-11-21,2956300000,4.24%
2024-11-20,2836100000,-1.64%
2024-11-19,2883500000,0.12%
2024-11-18,2880100000,0.30%
2024-11-15,2871600000,-2.31%
2024-11-14,2939400000,-0.11%
2024-11-13,2942700000,-3.18%
2024-11-12,3039300000,-0.94%
2024-11-11,3068000000,1.23%
2024-11-08,3030800000,-0.17%
2024-11-07,3035900000,4.00%
2024-11-06,2919000000,1.17%
2024-11-05,2885200000,2.34%
2024-11-04,2819100000,-0.24%
2024-11-01,2825900000,2.71%
2024-10-31,2751400000,1.82%
2024-10-30,2702300000,0.19%
2024-10-29,2697200000,0.19%
2024-10-28,2692200000,-0.37%
2024-10-25,2702300000,1.01%
2024-10-24,2675200000,1.09%
2024-10-23,2646400000,-3.46%
2024-10-22,2741300000,-1.04%
2024-10-21,2770000000,-0.73%
2024-10-18,2790400000,0.12%
2024-10-17,2787000000,-0.36%
2024-10-16,2797100000,
2024-10-15,2797100000,1.35%
2024-10-14,2759900000,0.25%
2024-10-11,2753100000,0.99%
2024-10-10,2726000000,-0.12%
2024-10-09,2729400000,-0.25%
2024-10-08,2736200000,0.75%
2024-10-07,2715900000,-2.67%
2024-10-04,2790400000,1.04%
2024-10-03,2761600000,0.19%
2024-10-02,2756500000,1.81%
2024-10-01,2707400000,-1.18%
2024-09-30,2739600000,-1.82%
2024-09-27,2790400000,-0.06%
2024-09-26,2792000000,1.79%
2024-09-25,2742900000,1.25%
2024-09-24,2709100000,-0.31%
2024-09-23,2717600000,0.50%
2024-09-20,2704000000,-1.97%
2024-09-19,2758200000,0.87%
2024-09-18,2734500000,-1.52%
2024-09-17,2776800000,-0.60%
2024-09-16,2793700000,1.54%
2024-09-13,2751400000,3.04%
2024-09-12,2670300000,0.83%
2024-09-11,2648300000,-2.62%
2024-09-10,2719500000,0.18%
2024-09-09,2714500000,-0.55%
2024-09-06,2729400000,-3.63%
2024-09-05,2832300000,-0.35%
2024-09-04,2842200000,0.47%
2024-09-03,2828900000,-0.99%
2024-08-30,2857100000,-1.32%
2024-08-29,2895300000,
2024-08-28,2895300000,-0.96%
2024-08-27,2923500000,3.04%
2024-08-26,2837200000,-1.33%
2024-08-23,2875400000,-1.65%
2024-08-22,2923500000,-0.34%
2024-08-21,2933400000,0.23%
2024-08-20,2926800000,-0.51%
2024-08-19,2941700000,2.54%
2024-08-16,2868700000,0.12%
2024-08-15,2865400000,2.13%
2024-08-14,2805700000,2.73%
2024-08-13,2731100000,-1.79%
2024-08-12,2780900000,-0.24%
2024-08-09,2787500000,-1.06%
2024-08-08,2817300000,0.17%
2024-08-07,2812400000,1.31%
2024-08-06,2775900000,2.14%
2024-08-05,2717800000,-1.15%
2024-08-02,2749300000,-1.25%
2024-08-01,2784200000,-2.15%
2024-07-31,2845500000,1.66%
2024-07-30,2799100000,-1.05%
2024-07-29,2828900000,0.17%
2024-07-26,2824000000,-0.35%
2024-07-25,2833900000,-0.64%
2024-07-24,2852200000,2.14%
2024-07-23,2792500000,-1.06%
2024-07-22,2822300000,1.98%
2024-07-19,2767600000,0.06%
2024-07-18,2765900000,-0.42%
2024-07-17,2777500000,-2.45%
2024-07-16,2847200000,3.43%
2024-07-15,2752700000,-1.48%
2024-07-12,2794100000,-0.06%
2024-07-11,2795800000,0.18%
2024-07-10,2790800000,6.94%
2024-07-09,2609700000,0.69%
2024-07-08,2591700000,-2.47%
2024-07-05,2657200000,0.68%
2024-07-03,2639200000,-0.80%
2024-07-02,2660500000,-0.43%
2024-07-01,2672000000,1.12%
2024-06-28,2642500000,1.89%
2024-06-27,2593400000,-2.04%
2024-06-26,2647400000,0.31%
2024-06-25,2639200000,-0.80%
2024-06-24,2660500000,0.56%
2024-06-21,2645800000,0.31%
2024-06-20,2637600000,-0.31%
2024-06-18,2645800000,-1.16%
2024-06-17,2676900000,0.12%
2024-06-14,2673600000,-1.33%
2024-06-13,2709600000,-3.61%
2024-06-12,2811100000,0.82%
2024-06-11,2788200000,2.41%
2024-06-10,2722700000,0.18%
2024-06-07,2717800000,2.15%
2024-06-06,2660500000,-5.52%
2024-06-05,2816000000,
2024-06-04,2816000000,-0.41%
2024-06-03,2827500000,2.31%
2024-05-31,2763600000,1.20%
2024-05-30,2730900000,0.06%
2024-05-29,2729300000,2.59%
2024-05-28,2660500000,-3.27%
2024-05-24,2750500000,1.51%
2024-05-23,2709600000,-0.66%
2024-05-22,2727600000,-1.54%
2024-05-21,2770200000,0.18%
2024-05-20,2765300000,0.30%
2024-05-17,2757100000,0.48%
2024-05-16,2744000000,-0.53%
2024-05-15,2758700000,4.46%
2024-05-14,2640900000,0.62%
2024-05-13,2624500000,1.65%
2024-05-10,2581900000,0.13%
2024-05-09,2578600000,1.74%
2024-05-08,2534400000,-2.46%
2024-05-07,2598300000,2.12%
2024-05-06,2544300000,0.32%
2024-05-03,2536100000,-2.02%
2024-05-02,2588500000,-1.31%
2024-05-01,2622800000,-1.11%
2024-04-30,2652300000,-1.46%
2024-04-29,2691600000,2.30%
2024-04-26,2631000000,0.06%
2024-04-25,2629400000,1.71%
2024-04-24,2585200000,1.54%
2024-04-23,2545900000,0.84%
2024-04-22,2524600000,2.12%
2024-04-19,2472200000,1.48%
2024-04-18,2436200000,0.61%
2024-04-17,2421500000,1.86%
2024-04-16,2377300000,0.42%
2024-04-15,2367400000,-1.70%
2024-04-12,2408400000,0.34%
2024-04-11,2400200000,-1.48%
2024-04-10,2436200000,-0.14%
2024-04-09,2439500000,0.74%
2024-04-08,2421500000,-0.40%
2024-04-05,2431300000,1.92%
2024-04-04,2385400000,4.22%
2024-04-03,2288800000,-0.64%
2024-04-02,2303600000,1.44%
2024-04-01,2270800000,-0.65%
2024-03-28,2285600000,-1.13%
2024-03-27,2311800000,2.10%
2024-03-26,2264300000,-1.29%
2024-03-25,2293800000,1.45%
2024-03-22,2261000000,0.58%
2024-03-21,2247900000,-0.43%
2024-03-20,2257700000,-1.43%
2024-03-19,2290500000,-0.85%
2024-03-18,2310100000,-1.67%
2024-03-15,2349400000,0.91%
2024-03-14,2328100000,-3.07%
2024-03-13,2401800000,2.16%
2024-03-12,2351100000,1.48%
2024-03-11,2316900000,-1.18%
2024-03-08,2344600000,-0.42%
2024-03-07,2354400000,0.42%
2024-03-06,2344600000,
2024-03-05,2344600000,0.07%
2024-03-04,2343000000,-3.17%
2024-03-01,2419600000,-2.44%
2024-02-29,2480000000,-0.85%
2024-02-28,2501200000,-0.65%
2024-02-27,2517500000,0.65%
2024-02-26,2501200000,-1.16%
2024-02-23,2530600000,0.65%
2024-02-22,2514300000,-3.63%
2024-02-21,2608900000,-8.63%
2024-02-20,2855300000,-0.40%
2024-02-16,2866700000,-5.64%
2024-02-15,3038000000,-13.40%
2024-02-14,3507900000,0.89%
2024-02-13,3476900000,8.72%
2024-02-12,3197900000,-7.24%
2024-02-09,3447500000,-2.63%
2024-02-08,3540600000,1.59%
2024-02-07,3485100000,3.49%
2024-02-06,3367600000,3.46%
2024-02-05,3255000000,0.61%
2024-02-02,3235400000,0.51%
2024-02-01,3219100000,1.91%
2024-01-31,3158800000,-0.67%
2024-01-30,3180000000,-0.15%
2024-01-29,3184900000,0.10%
2024-01-26,3181600000,0.10%
2024-01-25,3178300000,-0.41%
2024-01-24,3191400000,0.67%
2024-01-23,3170200000,-1.17%
2024-01-22,3207700000,-4.42%
2024-01-19,3356200000,1.83%
2024-01-18,3295800000,1.15%
2024-01-17,3258300000,-6.71%
2024-01-16,3492600000,-0.09%
2024-01-12,3495900000,0.47%
2024-01-11,3479400000,1.00%
2024-01-10,3444800000,0.43%
2024-01-09,3430000000,2.56%
2024-01-08,3344300000,1.05%
2024-01-05,3309700000,
2024-01-04,3309700000,0.75%
2024-01-03,3285000000,-0.94%
2024-01-02,3316300000,-1.23%
2023-12-29,3357500000,-0.24%
2023-12-28,3365700000,-0.68%
2023-12-27,3388800000,0.24%
2023-12-26,3380600000,3.43%
2023-12-22,3268500000,1.02%
2023-12-21,3235600000,1.13%
2023-12-20,3199300000,-1.62%
2023-12-19,3252100000,1.23%
2023-12-18,3212500000,-0.51%
2023-12-15,3229000000,1.34%
2023-12-14,3186200000,
2023-12-13,3186200000,-0.05%
2023-12-12,3187800000,0.26%
2023-12-11,3179600000,-1.08%
2023-12-08,3214200000,0.77%
2023-12-07,3189500000,-1.32%
2023-12-06,3232300000,-0.31%
2023-12-05,3242200000,0.20%
2023-12-04,3235600000,1.50%
2023-12-01,3187800000,-0.72%
2023-11-30,3210900000,0.98%
2023-11-29,3179600000,-1.02%
2023-11-28,3212500000,-0.86%
2023-11-27,3240500000,2.18%
2023-11-24,3171300000,0.84%
2023-11-22,3145000000,1.54%
2023-11-21,3097200000,-2.19%
2023-11-20,3166400000,-3.32%
2023-11-17,3275100000,7.87%
2023-11-16,3036200000,
2023-11-15,3036200000,-2.12%
2023-11-14,3102100000,5.02%
2023-11-13,2953900000,-0.94%
2023-11-10,2981900000,0.39%
2023-11-09,2970400000,-0.11%
2023-11-08,2973600000,-1.47%
2023-11-07,3018100000,0.94%
2023-11-06,2990100000,-2.89%
2023-11-03,3079100000,4.30%
2023-11-02,2952200000,
2023-11-01,2952200000,-0.06%
2023-10-31,2953900000,-0.33%
2023-10-30,2963800000,1.70%
2023-10-27,2914300000,0.80%
2023-10-26,2891100000,-0.11%
2023-10-25,2894400000,-0.17%
2023-10-24,2899200000,1.02%
2023-10-23,2869900000,-2.71%
2023-10-20,2949800000,3.37%
2023-10-19,2853600000,-0.28%
2023-10-18,2861700000,-1.79%
2023-10-17,2913900000,-0.17%
2023-10-16,2918800000,-10.41%
2023-10-13,3258000000,1.22%
2023-10-12,3218800000,-0.80%
2023-10-11,3244900000,4.74%
2023-10-10,3098200000,0.74%
2023-10-09,3075300000,-2.74%
2023-10-06,3161800000,1.41%
2023-10-05,3117700000,-1.49%
2023-10-04,3165000000,0.41%
2023-10-03,3152000000,-0.41%
2023-10-02,3165000000,-1.92%
2023-09-29,3227000000,-0.85%
2023-09-28,3254700000,-1.43%
2023-09-27,3302000000,4.33%
2023-09-26,3165000000,0.26%
2023-09-25,3156900000,4.20%
2023-09-22,3029700000,1.70%
2023-09-21,2979100000,-3.08%
2023-09-20,3073700000,-0.48%
2023-09-19,3088400000,-2.67%
2023-09-18,3173200000,1.94%
2023-09-15,3112900000,-3.44%
2023-09-14,3223700000,1.49%
2023-09-13,3176400000,-1.32%
2023-09-12,3218800000,-0.45%
2023-09-11,3233500000,-0.90%
2023-09-08,3262900000,1.37%
2023-09-07,3218800000,-0.15%
2023-09-06,3223700000,2.17%
2023-09-05,3155200000,-18.22%
2023-09-01,3858000000,3.73%
2023-08-31,3719400000,-1.47%
2023-08-30,3774900000,0.30%
2023-08-29,3763500000,-1.79%
2023-08-28,3832000000,0.56%
2023-08-25,3810800000,1.35%
2023-08-24,3760200000,-1.37%
2023-08-23,3812400000,7.25%
2023-08-22,3554800000,-0.13%
2023-08-21,3559600000,-1.98%
2023-08-18,3631400000,-3.43%
2023-08-17,3760200000,-0.30%
2023-08-16,3771600000,-2.12%
2023-08-15,3853200000,-2.27%
2023-08-14,3942800000,5.59%
2023-08-11,3734100000,0.26%
2023-08-10,3724300000,-0.48%
2023-08-09,3742300000,-2.05%
2023-08-08,3820500000,-0.04%
2023-08-07,3822200000,14.45%
2023-08-04,3339500000,1.79%
2023-08-03,3280800000,-1.66%
2023-08-02,3336200000,0.99%
2023-08-01,3303600000,-8.58%
2023-07-31,3613500000,-1.60%
2023-07-28,3672200000,2.32%
2023-07-27,3589000000,-1.17%
2023-07-26,3631400000,-0.18%
2023-07-25,3637900000,0.22%
2023-07-24,3629800000,2.96%
2023-07-21,3525400000,-1.50%
2023-07-20,3579200000,-0.54%
2023-07-19,3598800000,-6.64%
2023-07-18,3854800000,-0.04%
2023-07-17,3856400000,3.18%
2023-07-14,3737400000,-0.13%
2023-07-13,3742300000,0.13%
2023-07-12,3737400000,0.75%
2023-07-11,3709700000,-1.85%
2023-07-10,3779800000,-4.45%
2023-07-07,3955900000,-0.20%
2023-07-06,3964000000,-0.61%
2023-07-05,3988500000,0.21%
2023-07-03,3980300000,0.12%
2023-06-30,3975500000,-0.77%
2023-06-29,4006400000,-2.19%
2023-06-28,4096100000,4.67%
2023-06-27,3913500000,7.38%
2023-06-26,3644400000,-1.11%
2023-06-23,3685200000,-2.08%
2023-06-22,3763500000,1.45%
2023-06-21,3709700000,1.11%
2023-06-20,3668900000,-4.86%
2023-06-16,3856400000,-4.68%
2023-06-15,4045600000,6.85%
2023-06-14,3786300000,1.40%
2023-06-13,3734100000,13.76%
2023-06-12,3282400000,3.98%
2023-06-09,3156900000,4.76%
2023-06-08,3013400000,-2.43%
2023-06-07,3088400000,2.88%
2023-06-06,3002000000,1.99%
2023-06-05,2943300000,-4.09%
2023-06-02,3068800000,1.29%
2023-06-01,3029700000,-3.83%
2023-05-31,3150400000,3.43%
2023-05-30,3046000000,-1.53%
2023-05-26,3093300000,-1.45%
2023-05-25,3138900000,-1.39%
2023-05-24,3183000000,1.77%
2023-05-23,3127500000,-2.05%
2023-05-22,3192800000,4.60%
2023-05-19,3052500000,-0.64%
2023-05-18,3072100000,-1.67%
2023-05-17,3124300000,1.00%
2023-05-16,3093300000,0.64%
2023-05-15,3073700000,3.97%
2023-05-12,2956300000,-1.31%
2023-05-11,2995400000,-9.51%
2023-05-10,3310200000,1.05%
2023-05-09,3275900000,7.32%
2023-05-08,3052500000,-1.84%
2023-05-05,3109600000,-1.40%
2023-05-04,3153600000,-3.92%
2023-05-03,3282400000,5.01%
2023-05-02,3125900000,0.16%
2023-05-01,3121000000,-4.54%
2023-04-28,3269400000,-2.67%
2023-04-27,3359100000,0.15%
2023-04-26,3354200000,-2.05%
2023-04-25,3424300000,-2.46%
2023-04-24,3510700000,2.48%
2023-04-21,3425900000,1.11%
2023-04-20,3388400000,1.61%
2023-04-19,3334600000,-0.58%
2023-04-18,3354200000,4.52%
2023-04-17,3209100000,-10.62%
2023-04-14,3590600000,-4.80%
2023-04-13,3771600000,-1.11%
2023-04-12,3814000000,3.08%
2023-04-11,3699900000,6.43%
2023-04-10,3476500000,-1.70%
2023-04-06,3536800000,1.07%
2023-04-05,3499300000,-1.79%
2023-04-04,3562900000,1.63%
2023-04-03,3505800000,-2.93%
2023-03-31,3611800000,-3.02%
2023-03-30,3724300000,1.96%
2023-03-29,3652600000,-0.31%
2023-03-28,3664000000,0.85%
2023-03-27,3633000000,-6.86%
2023-03-24,3900400000,0.67%
2023-03-23,3874400000,-7.26%
2023-03-22,4177600000,6.66%
2023-03-21,3916700000,1.95%
2023-03-20,3841700000,6.41%
2023-03-17,3610200000,1.89%
2023-03-16,3543300000,3.03%
2023-03-15,3439000000,2.48%
2023-03-14,3355800000,0.39%
2023-03-13,3342800000,2.04%
2023-03-10,3275900000,-3.83%
2023-03-09,3406400000,-4.09%
2023-03-08,3551500000,1.40%
2023-03-07,3502600000,-2.05%
2023-03-06,3575900000,2.76%
2023-03-03,3479700000,0.99%
2023-03-02,3445500000,3.33%
2023-03-01,3334600000,-1.45%
2023-02-28,3383500000,-0.14%
2023-02-27,3388400000,-9.22%
2023-02-24,3732500000,0.13%
2023-02-23,3727600000,1.33%
2023-02-22,3678700000,-1.87%
2023-02-21,3748800000,-12.68%
2023-02-17,4293399999,-1.90%
2023-02-16,4376600000,9.73%
2023-02-15,3988500000,2.51%
2023-02-14,3890700000,1.10%
2023-02-13,3848300000,0.26%
2023-02-10,3838500000,-7.28%
2023-02-09,4140100000,8.78%
2023-02-08,3805900000,10.51%
2023-02-07,3443900000,-1.54%
