Date,Market Cap,% Change
2024-12-19,5369600000,-1.14%
2024-12-18,5431500000,-2.56%
2024-12-17,5574100000,-1.50%
2024-12-16,5659000000,0.29%
2024-12-13,5642700000,0.23%
2024-12-12,5630000000,0.70%
2024-12-11,5590800000,2.08%
2024-12-10,5477100000,0.23%
2024-12-09,5464600000,-1.08%
2024-12-06,5524100000,0.35%
2024-12-05,5505000000,-1.01%
2024-12-04,5560900000,0.91%
2024-12-03,5510700000,0.26%
2024-12-02,5496600000,-0.38%
2024-11-29,5517400000,0.37%
2024-11-27,5497300000,-0.55%
2024-11-26,5527500000,0.61%
2024-11-25,5493900000,-0.37%
2024-11-22,5514500000,0.59%
2024-11-21,5482400000,1.87%
2024-11-20,5381900000,0.93%
2024-11-19,5332200000,1.45%
2024-11-18,5255900000,0.09%
2024-11-15,5251300000,-1.66%
2024-11-14,5340100000,0.11%
2024-11-13,5334100000,-1.24%
2024-11-12,5401300000,-0.41%
2024-11-11,5423600000,-0.58%
2024-11-08,5455000000,-0.48%
2024-11-07,5481200000,1.37%
2024-11-06,5407100000,3.44%
2024-11-05,5227300000,0.92%
2024-11-04,5179800000,-2.31%
2024-11-01,5302400000,-0.59%
2024-10-31,5334100000,-0.54%
2024-10-30,5362900000,0.46%
2024-10-29,5338400000,0.28%
2024-10-28,5323400000,1.02%
2024-10-25,5269700000,1.04%
2024-10-24,5215300000,0.62%
2024-10-23,5183000000,-1.14%
2024-10-22,5242600000,0.82%
2024-10-21,5200200000,-0.61%
2024-10-18,5231900000,-0.95%
2024-10-17,5282200000,0.41%
2024-10-16,5260400000,0.11%
2024-10-15,5254600000,0.92%
2024-10-14,5206900000,0.51%
2024-10-11,5180600000,1.45%
2024-10-10,5106800000,-0.66%
2024-10-09,5140800000,-0.29%
2024-10-08,5155700000,0.41%
2024-10-07,5134800000,-1.32%
2024-10-04,5203400000,1.41%
2024-10-03,5131300000,0.98%
2024-10-02,5081700000,1.60%
2024-10-01,5001700000,0.27%
2024-09-30,4988300000,0.10%
2024-09-27,4983200000,-0.13%
2024-09-26,4989700000,1.02%
2024-09-25,4939200000,-0.25%
2024-09-24,4951400000,0.30%
2024-09-23,4936500000,-0.45%
2024-09-20,4958600000,-1.23%
2024-09-19,5020400000,1.24%
2024-09-18,4959000000,-0.22%
2024-09-17,4969800000,0.75%
2024-09-16,4932900000,0.57%
2024-09-13,4904900000,0.85%
2024-09-12,4863700000,0.37%
2024-09-11,4846000000,0.19%
2024-09-10,4836900000,-0.08%
2024-09-09,4840700000,-0.11%
2024-09-06,4846200000,-1.08%
2024-09-05,4898900000,-0.60%
2024-09-04,4928600000,0.17%
2024-09-03,4920200000,-1.74%
2024-08-30,5007200000,0.51%
2024-08-29,4981600000,-0.57%
2024-08-28,5010100000,-0.14%
2024-08-27,5017200000,0.77%
2024-08-26,4978900000,-0.48%
2024-08-23,5002900000,0.56%
2024-08-22,4975100000,-0.19%
2024-08-21,4984700000,0.95%
2024-08-20,4938000000,-1.24%
2024-08-19,5000000000,3.81%
2024-08-16,4816300000,0.20%
2024-08-15,4806500000,1.94%
2024-08-14,4715200000,1.07%
2024-08-13,4665100000,-0.50%
2024-08-12,4688400000,-0.22%
2024-08-09,4698900000,1.39%
2024-08-08,4634300000,1.72%
2024-08-07,4556000000,0.48%
2024-08-06,4534200000,1.10%
2024-08-05,4484800000,-4.07%
2024-08-02,4675200000,-2.50%
2024-08-01,4794900000,-0.09%
2024-07-31,4799000000,-0.36%
2024-07-30,4816500000,0.93%
2024-07-29,4772200000,0.12%
2024-07-26,4766700000,0.47%
2024-07-25,4744200000,0.78%
2024-07-24,4707300000,-0.89%
2024-07-23,4749700000,0.51%
2024-07-22,4725700000,0.27%
2024-07-19,4713000000,0.15%
2024-07-18,4706100000,-0.86%
2024-07-17,4747000000,-0.40%
2024-07-16,4766200000,0.80%
2024-07-15,4728600000,-0.14%
2024-07-12,4735100000,1.67%
2024-07-11,4657500000,0.33%
2024-07-10,4642200000,-0.44%
2024-07-09,4662700000,0.50%
2024-07-08,4639300000,-0.51%
2024-07-05,4663200000,0.54%
2024-07-03,4638100000,-0.54%
2024-07-02,4663500000,1.22%
2024-07-01,4607200000,2.27%
2024-06-28,4504900000,-0.77%
2024-06-27,4539700000,0.21%
2024-06-26,4530300000,1.91%
2024-06-25,4445600000,0.36%
2024-06-24,4429500000,-1.87%
2024-06-21,4513800000,0.54%
2024-06-20,4489400000,2.82%
2024-06-18,4366300000,0.46%
2024-06-17,4346400000,-0.33%
2024-06-14,4361000000,-0.40%
2024-06-13,4378300000,-2.41%
2024-06-12,4486500000,0.68%
2024-06-11,4456300000,-0.20%
2024-06-10,4465400000,-0.63%
2024-06-07,4493500000,0.42%
2024-06-06,4474800000,-2.10%
2024-06-05,4571000000,0.73%
2024-06-04,4538000000,1.07%
2024-06-03,4489900000,1.54%
2024-05-31,4421600000,0.91%
2024-05-30,4381600000,-0.07%
2024-05-29,4384500000,-0.39%
2024-05-28,4401700000,-0.26%
2024-05-24,4413200000,1.01%
2024-05-23,4369200000,-1.79%
2024-05-22,4448700000,-0.26%
2024-05-21,4460400000,-0.37%
2024-05-20,4476900000,-1.51%
2024-05-17,4545700000,0.37%
2024-05-16,4528900000,0.31%
2024-05-15,4514800000,1.78%
2024-05-14,4435700000,0.11%
2024-05-13,4431000000,-2.11%
2024-05-10,4526500000,-0.03%
2024-05-09,4527700000,-0.85%
2024-05-08,4566500000,1.25%
2024-05-07,4510000000,0.15%
2024-05-06,4503300000,1.85%
2024-05-03,4421600000,0.73%
2024-05-02,4389500000,-1.32%
2024-05-01,4448200000,-0.09%
2024-04-30,4452000000,-1.09%
2024-04-29,4500900000,0.63%
2024-04-26,4472600000,-0.36%
2024-04-25,4488700000,0.70%
2024-04-24,4457500000,0.57%
2024-04-23,4432200000,1.58%
2024-04-22,4363200000,1.29%
2024-04-19,4307600000,0.40%
2024-04-18,4290399999,0.18%
2024-04-17,4282500000,-0.90%
2024-04-16,4321300000,-1.12%
2024-04-15,4370100000,0.35%
2024-04-12,4355000000,-0.39%
2024-04-11,4372000000,-0.67%
2024-04-10,4401300000,-0.88%
2024-04-09,4440300000,0.41%
2024-04-08,4422100000,0.34%
2024-04-05,4407000000,-0.71%
2024-04-04,4438600000,1.16%
2024-04-03,4387600000,1.05%
2024-04-02,4342100000,-1.24%
2024-04-01,4396700000,-0.49%
2024-03-28,4418500000,-0.14%
2024-03-27,4424700000,1.81%
2024-03-26,4345900000,0.16%
2024-03-25,4338800000,-0.59%
2024-03-22,4364600000,-0.88%
2024-03-21,4403200000,0.01%
2024-03-20,4402700000,-0.34%
2024-03-19,4417500000,0.24%
2024-03-18,4407000000,0.82%
2024-03-15,4371100000,0.11%
2024-03-14,4366100000,-0.93%
2024-03-13,4407000000,-0.33%
2024-03-12,4421600000,-0.12%
2024-03-11,4427100000,-0.34%
2024-03-08,4442000000,
2024-03-07,4442200000,0.10%
2024-03-06,4437700000,-0.67%
2024-03-05,4467600000,-0.82%
2024-03-04,4504500000,-0.51%
2024-03-01,4527500000,0.47%
2024-02-29,4506400000,0.24%
2024-02-28,4495400000,-0.34%
2024-02-27,4510700000,-0.09%
2024-02-26,4514800000,-1.47%
2024-02-23,4582300000,-0.15%
2024-02-22,4589200000,2.05%
2024-02-21,4497000000,-0.10%
2024-02-20,4501600000,-0.71%
2024-02-16,4533900000,-0.99%
2024-02-15,4579200000,-0.35%
2024-02-14,4595500000,1.05%
2024-02-13,4547800000,-0.86%
2024-02-12,4587100000,0.33%
2024-02-09,4572200000,-0.14%
2024-02-08,4578700000,-1.81%
2024-02-07,4663000000,1.02%
2024-02-06,4616100000,6.08%
2024-02-05,4351700000,-1.51%
2024-02-02,4418200000,-0.91%
2024-02-01,4458900000,0.65%
2024-01-31,4430200000,-1.26%
2024-01-30,4486900000,-0.15%
2024-01-29,4493800000,0.59%
2024-01-26,4467300000,0.36%
2024-01-25,4451200000,-0.80%
2024-01-24,4487100000,-0.68%
2024-01-23,4517800000,0.14%
2024-01-22,4511500000,-0.76%
2024-01-19,4546000000,0.76%
2024-01-18,4511500000,1.74%
2024-01-17,4434500000,-1.92%
2024-01-16,4521100000,5.80%
2024-01-12,4273200000,-0.19%
2024-01-11,4281300000,0.08%
2024-01-10,4277899999,-0.05%
2024-01-09,4279899999,-0.49%
2024-01-08,4300900000,1.22%
2024-01-05,4249200000,0.03%
2024-01-04,4247800000,-0.28%
2024-01-03,4259800000,-1.58%
2024-01-02,4328200000,-0.54%
2023-12-29,4351900000,0.08%
2023-12-28,4348500000,0.10%
2023-12-27,4344200000,0.37%
2023-12-26,4328400000,1.08%
2023-12-22,4282200000,0.04%
2023-12-21,4280600000,1.48%
2023-12-20,4218100000,-1.65%
2023-12-19,4289000000,0.64%
2023-12-18,4261700000,2.82%
2023-12-15,4144899999,-0.06%
2023-12-14,4147500000,1.08%
2023-12-13,4103000000,0.32%
2023-12-12,4089800000,0.15%
2023-12-11,4083600000,-0.12%
2023-12-08,4088400000,1.03%
2023-12-07,4046700000,-0.02%
2023-12-06,4047500000,-0.36%
2023-12-05,4062100000,-1.66%
2023-12-04,4130500000,0.76%
2023-12-01,4099200000,1.23%
2023-11-30,4049400000,1.15%
2023-11-29,4003400000,-1.17%
2023-11-28,4050800000,-1.33%
2023-11-27,4105399999,0.02%
2023-11-24,4104700000,0.15%
2023-11-22,4098700000,0.72%
2023-11-21,4069500000,-1.23%
2023-11-20,4120200000,0.02%
2023-11-17,4119500000,0.77%
2023-11-16,4088100000,-2.14%
2023-11-15,4177700000,0.76%
2023-11-14,4146300000,2.15%
2023-11-13,4058900000,-0.61%
2023-11-10,4083800000,1.32%
2023-11-09,4030500000,-0.80%
2023-11-08,4063000000,-0.50%
2023-11-07,4083600000,-1.48%
2023-11-06,4144899999,-0.70%
2023-11-03,4174100000,-0.82%
2023-11-02,4208800000,5.07%
2023-11-01,4005700000,-0.29%
2023-10-31,4017400000,0.73%
2023-10-30,3988300000,1.05%
2023-10-27,3946700000,-0.55%
2023-10-26,3968400000,-0.66%
2023-10-25,3994700000,-1.83%
2023-10-24,4069000000,0.23%
2023-10-23,4059500000,-1.63%
2023-10-20,4126600000,-0.70%
2023-10-19,4155500000,-1.25%
2023-10-18,4208300000,-3.86%
2023-10-17,4377300000,0.99%
2023-10-16,4334300000,2.56%
2023-10-13,4226000000,0.33%
2023-10-12,4212200000,-1.19%
2023-10-11,4263100000,-0.30%
2023-10-10,4276000000,1.42%
2023-10-09,4216000000,0.47%
2023-10-06,4196399999,1.01%
2023-10-05,4154600000,-0.13%
2023-10-04,4159800000,0.20%
2023-10-03,4151500000,-1.00%
2023-10-02,4193300000,-0.45%
2023-09-29,4212399999,0.23%
2023-09-28,4202800000,0.26%
2023-09-27,4191899999,-0.39%
2023-09-26,4208300000,-2.18%
2023-09-25,4302000000,-0.33%
2023-09-22,4316100000,0.65%
2023-09-21,4288399999,-1.85%
2023-09-20,4369100000,2.13%
2023-09-19,4277899999,0.48%
2023-09-18,4257600000,0.02%
2023-09-15,4256600000,-1.22%
2023-09-14,4309200000,1.97%
2023-09-13,4226000000,1.04%
2023-09-12,4182500000,1.87%
2023-09-11,4105800000,2.31%
2023-09-08,4013100000,-0.14%
2023-09-07,4018900000,-0.98%
2023-09-06,4058800000,-1.24%
2023-09-05,4109899999,-3.88%
2023-09-01,4275700000,0.53%
2023-08-31,4253000000,-0.14%
2023-08-30,4259000000,0.55%
2023-08-29,4235800000,-1.00%
2023-08-28,4278800000,1.99%
2023-08-25,4195399999,0.52%
2023-08-24,4173500000,-0.62%
2023-08-23,4199500000,-0.89%
2023-08-22,4237000000,1.10%
2023-08-21,4190899999,-1.49%
2023-08-18,4254500000,-3.75%
2023-08-17,4420300000,-10.02%
2023-08-16,4912700000,-1.10%
2023-08-15,4967400000,-0.50%
2023-08-14,4992500000,0.49%
2023-08-11,4968100000,0.64%
2023-08-10,4936600000,-0.28%
2023-08-09,4950500000,-0.98%
2023-08-08,4999700000,-0.98%
2023-08-07,5049400000,1.23%
2023-08-04,4988000000,-1.50%
2023-08-03,5064000000,1.18%
2023-08-02,5004900000,0.25%
2023-08-01,4992300000,-1.79%
2023-07-31,5083300000,0.24%
2023-07-28,5071100000,11.65%
2023-07-27,4542100000,-0.69%
2023-07-26,4573700000,-0.41%
2023-07-25,4592500000,0.72%
2023-07-24,4559600000,-1.05%
2023-07-21,4607800000,0.50%
2023-07-20,4585100000,1.10%
2023-07-19,4535000000,-2.21%
2023-07-18,4637700000,0.57%
2023-07-17,4611200000,0.11%
2023-07-14,4606200000,0.08%
2023-07-13,4602300000,-0.31%
2023-07-12,4616700000,0.45%
2023-07-11,4595900000,-1.06%
2023-07-10,4645300000,1.07%
2023-07-07,4596100000,1.27%
2023-07-06,4538500000,0.81%
2023-07-05,4502000000,0.72%
2023-07-03,4469700000,-0.52%
2023-06-30,4493100000,0.61%
2023-06-29,4465700000,0.97%
2023-06-28,4422700000,1.78%
2023-06-27,4345500000,1.37%
2023-06-26,4286700000,0.07%
2023-06-23,4283800000,-0.64%
2023-06-22,4311600000,2.13%
2023-06-21,4221500000,0.67%
2023-06-20,4193300000,-2.55%
2023-06-16,4303000000,0.65%
2023-06-15,4275000000,0.15%
2023-06-14,4268500000,-0.39%
2023-06-13,4285000000,1.48%
2023-06-12,4222399999,-0.62%
2023-06-09,4248700000,-0.31%
2023-06-08,4262100000,1.06%
2023-06-07,4217200000,-0.89%
2023-06-06,4255200000,-0.22%
2023-06-05,4264700000,0.04%
2023-06-02,4262800000,0.34%
2023-06-01,4248200000,0.65%
2023-05-31,4220800000,0.51%
2023-05-30,4199500000,-0.93%
2023-05-26,4238899999,-0.02%
2023-05-25,4239600000,-0.28%
2023-05-24,4251300000,-1.22%
2023-05-23,4303900000,-0.84%
2023-05-22,4340500000,-2.29%
2023-05-19,4442300000,-1.49%
2023-05-18,4509600000,1.21%
2023-05-17,4455900000,-0.95%
2023-05-16,4498600000,-0.50%
2023-05-15,4521100000,-0.39%
2023-05-12,4539000000,-0.14%
2023-05-11,4545200000,-1.91%
2023-05-10,4633600000,-2.91%
2023-05-09,4772700000,-2.19%
2023-05-08,4879700000,-1.02%
2023-05-05,4929900000,-1.05%
2023-05-04,4982000000,3.29%
2023-05-03,4823200000,-0.92%
2023-05-02,4868100000,-0.55%
2023-05-01,4895100000,2.23%
2023-04-28,4788300000,-0.44%
2023-04-27,4809600000,1.85%
2023-04-26,4722200000,-0.41%
2023-04-25,4741700000,-0.28%
2023-04-24,4755100000,0.22%
2023-04-21,4744600000,-0.12%
2023-04-20,4750300000,-0.63%
2023-04-19,4780200000,0.13%
2023-04-18,4774000000,2.77%
2023-04-17,4645300000,-1.26%
2023-04-14,4704500000,-0.95%
2023-04-13,4749600000,1.41%
2023-04-12,4683500000,-1.06%
2023-04-11,4733900000,2.20%
2023-04-10,4631900000,-0.15%
2023-04-06,4638800000,-0.19%
2023-04-05,4647400000,0.03%
2023-04-04,4646000000,-0.21%
2023-04-03,4656000000,0.06%
2023-03-31,4653400000,0.83%
2023-03-30,4615200000,0.39%
2023-03-29,4597300000,0.06%
2023-03-28,4594400000,1.11%
2023-03-27,4543800000,1.01%
2023-03-24,4498400000,0.55%
2023-03-23,4474000000,0.32%
2023-03-22,4459700000,-0.83%
2023-03-21,4497200000,0.31%
2023-03-20,4483300000,2.32%
2023-03-17,4381800000,-0.26%
2023-03-16,4393100000,0.99%
2023-03-15,4350100000,-1.28%
2023-03-14,4406700000,-0.07%
2023-03-13,4409800000,-1.31%
2023-03-10,4468500000,-1.45%
2023-03-09,4534200000,-0.78%
2023-03-08,4569800000,-0.60%
2023-03-07,4597500000,-0.85%
2023-03-06,4636700000,-0.57%
2023-03-03,4663200000,
2023-03-02,4663200000,1.32%
2023-03-01,4602300000,0.82%
2023-02-28,4564800000,-0.04%
2023-02-27,4566700000,0.59%
2023-02-24,4539700000,-1.21%
2023-02-23,4595100000,0.47%
2023-02-22,4573600000,0.56%
2023-02-21,4548300000,0.01%
2023-02-17,4547800000,0.22%
2023-02-16,4537800000,0.52%
2023-02-15,4514400000,0.73%
2023-02-14,4481700000,-0.34%
2023-02-13,4497000000,0.76%
2023-02-10,4463000000,-0.54%
2023-02-09,4487400000,-0.05%
2023-02-08,4489800000,3.82%
